temperature,profit
70.000000,52.670000
86.000000,68.350000
77.000000,59.870000
82.000000,66.150000
54.000000,28.370000
85.000000,61.820000
66.000000,45.050000
84.000000,65.200000
54.000000,27.990000
68.000000,41.680000
71.000000,54.590000
83.000000,64.380000
60.000000,35.060000
71.000000,53.770000
46.000000,21.250000
62.000000,40.190000
79.000000,64.630000
89.000000,73.160000
84.000000,63.630000
87.000000,68.000000
76.000000,59.410000
91.000000,75.580000
73.000000,54.400000
86.000000,69.190000
91.000000,81.810000
74.000000,54.260000
71.000000,49.340000
78.000000,62.200000
58.000000,36.110000
48.000000,22.290000
50.000000,27.310000
43.000000,17.020000
86.000000,71.460000
79.000000,59.690000
78.000000,58.130000
70.000000,50.870000
72.000000,50.010000
97.000000,82.500000
66.000000,45.420000
82.000000,62.850000
80.000000,65.420000
67.000000,48.650000
85.000000,65.990000
73.000000,52.130000
88.000000,74.690000
96.000000,80.020000
70.000000,52.050000
84.000000,66.260000
66.000000,47.520000
76.000000,60.330000
50.000000,22.890000
87.000000,70.640000
58.000000,32.390000
51.000000,32.180000
89.000000,74.090000
59.000000,35.330000
87.000000,65.190000
99.000000,89.290000
68.000000,43.730000
48.000000,24.680000
99.000000,85.130000
45.000000,19.230000
75.000000,57.840000
78.000000,60.460000
55.000000,34.190000
65.000000,42.100000
41.000000,18.820000
67.000000,45.260000
77.000000,60.750000
84.000000,63.130000
85.000000,70.300000
50.000000,25.680000
68.000000,45.890000
76.000000,59.690000
83.000000,63.290000
61.000000,38.160000
72.000000,52.470000
87.000000,68.480000
84.000000,65.400000
76.000000,59.430000
68.000000,46.900000
43.000000,15.880000
80.000000,64.450000
83.000000,62.580000
70.000000,48.820000
75.000000,55.340000
80.000000,61.220000
79.000000,59.490000
77.000000,55.070000
82.000000,66.060000
76.000000,52.840000
79.000000,59.700000
96.000000,82.830000
71.000000,46.740000
67.000000,44.850000
69.000000,49.880000
57.000000,30.890000
72.000000,48.960000
66.000000,47.360000
81.000000,64.230000
83.000000,65.540000
99.000000,87.080000
59.000000,32.290000
79.000000,64.820000
65.000000,41.090000
92.000000,75.600000
65.000000,44.310000
72.000000,50.790000
60.000000,39.690000
48.000000,26.410000
78.000000,60.890000
56.000000,33.220000
82.000000,64.860000
73.000000,52.420000
79.000000,57.440000
40.000000,11.880000
63.000000,41.580000
78.000000,57.250000
60.000000,40.950000
64.000000,44.850000
77.000000,56.430000
77.000000,57.520000
81.000000,62.320000
60.000000,40.250000
65.000000,47.360000
82.000000,61.850000
81.000000,62.360000
65.000000,43.280000
80.000000,61.590000
61.000000,38.100000
81.000000,65.860000
74.000000,53.950000
61.000000,37.660000
81.000000,62.120000
47.000000,22.120000
54.000000,30.370000
79.000000,59.930000
74.000000,50.650000
54.000000,33.710000
61.000000,37.960000
51.000000,21.930000
65.000000,45.380000
65.000000,42.710000
83.000000,60.780000
69.000000,47.780000
58.000000,36.790000
82.000000,64.390000
61.000000,38.210000
48.000000,25.010000
54.000000,27.410000
95.000000,78.200000
75.000000,53.710000
52.000000,29.390000
65.000000,42.720000
65.000000,43.780000
82.000000,64.970000
90.000000,75.110000
70.000000,49.460000
74.000000,53.440000
82.000000,63.410000
86.000000,67.970000
82.000000,66.570000
66.000000,43.030000
72.000000,53.570000
45.000000,21.620000
67.000000,42.940000
