temperature,profit
84.000000,63.630000
53.000000,25.710000
52.000000,29.390000
89.000000,71.510000
86.000000,69.660000
77.000000,56.330000
84.000000,65.400000
76.000000,59.410000
66.000000,45.420000
65.000000,43.780000
66.000000,45.050000
73.000000,52.130000
81.000000,58.110000
65.000000,44.310000
92.000000,77.410000
76.000000,60.330000
95.000000,78.200000
73.000000,53.970000
70.000000,49.320000
49.000000,23.540000
72.000000,57.180000
70.000000,52.670000
97.000000,82.500000
84.000000,65.120000
95.000000,80.970000
65.000000,43.280000
61.000000,37.660000
78.000000,62.200000
47.000000,22.120000
80.000000,55.470000
79.000000,59.690000
58.000000,36.790000
69.000000,47.780000
54.000000,30.370000
70.000000,50.870000
65.000000,42.720000
59.000000,36.710000
78.000000,60.460000
64.000000,44.850000
62.000000,39.040000
48.000000,22.290000
90.000000,75.110000
81.000000,62.120000
79.000000,64.820000
68.000000,47.170000
68.000000,47.470000
84.000000,63.350000
48.000000,25.010000
74.000000,54.360000
89.000000,74.090000
65.000000,47.360000
71.000000,46.740000
54.000000,30.090000
89.000000,73.320000
76.000000,52.840000
74.000000,54.260000
79.000000,67.420000
54.000000,27.990000
83.000000,65.660000
86.000000,69.590000
73.000000,54.400000
60.000000,40.250000
86.000000,69.900000
64.000000,40.280000
44.000000,19.570000
94.000000,80.940000
77.000000,58.390000
68.000000,47.350000
55.000000,29.530000
79.000000,59.490000
61.000000,37.960000
42.000000,18.650000
84.000000,68.540000
81.000000,59.470000
59.000000,29.690000
81.000000,65.860000
40.000000,11.880000
86.000000,71.460000
87.000000,70.430000
91.000000,81.810000
74.000000,53.440000
64.000000,40.140000
57.000000,30.890000
50.000000,27.310000
77.000000,53.070000
71.000000,53.770000
54.000000,33.710000
77.000000,56.430000
69.000000,41.740000
53.000000,32.600000
68.000000,45.650000
101.000000,81.910000
84.000000,63.130000
63.000000,40.590000
50.000000,27.640000
52.000000,28.050000
48.000000,23.780000
79.000000,57.440000
78.000000,62.580000
80.000000,61.590000
69.000000,48.770000
79.000000,64.630000
82.000000,64.020000
85.000000,64.310000
78.000000,58.130000
72.000000,50.010000
82.000000,66.570000
64.000000,38.570000
96.000000,80.950000
92.000000,75.040000
66.000000,43.030000
54.000000,31.940000
51.000000,32.180000
86.000000,67.970000
72.000000,48.960000
87.000000,65.190000
73.000000,54.670000
99.000000,89.290000
66.000000,40.650000
48.000000,26.410000
64.000000,44.070000
84.000000,65.410000
64.000000,40.940000
63.000000,39.170000
85.000000,61.820000
73.000000,53.210000
83.000000,63.290000
